WEEK,LGCL_DM,START,END,DIFF,DIFF_MINS,DIFF_SEC,TOTAL_JOB,CLIENT,DIM,COMP,TOTAL
2076,SMTHFLD_M,  Mon Jun 17 02:56:16 CDT 2019,  Mon Jun 17 03:01:01 CDT 2019,00:04:45,4,285,0,0,0,0,0
2077,SMTHFLD_M,  Mon Jun 24 01:54:57 CDT 2019,  Mon Jun 24 01:57:40 CDT 2019,00:02:43,2,163,0,0,0,0,0
2078,SMTHFLD_M,  Mon Jul  1 06:51:27 CDT 2019,  Mon Jul  1 06:53:52 CDT 2019,00:02:25,2,145,0,0,0,0,0
2079,SMTHFLD_M,  Mon Jul  8 06:19:07 CDT 2019,  Mon Jul  8 06:22:18 CDT 2019,00:03:11,3,191,0,0,0,0,0
2080,SMTHFLD_M,  Mon Jul 15 02:10:21 CDT 2019,  Mon Jul 15 02:15:55 CDT 2019,00:05:34,5,334,0,0,0,0,0
2081,SMTHFLD_M,  Mon Jul 22 01:28:09 CDT 2019,  Mon Jul 22 01:34:17 CDT 2019,00:06:08,6,368,0,0,0,0,0
2082,SMTHFLD_M,  Mon Jul 29 05:14:16 CDT 2019,  Mon Jul 29 05:18:46 CDT 2019,00:04:30,4,270,0,0,0,0,0
2083,SMTHFLD_M,  Mon Aug  5 02:31:49 CDT 2019,  Mon Aug  5 02:37:54 CDT 2019,00:06:05,6,365,0,0,0,0,0
2084,SMTHFLD_M,  Mon Aug 12 04:38:21 CDT 2019,  Mon Aug 12 04:43:01 CDT 2019,00:04:40,4,280,0,0,0,0,0
2085,SMTHFLD_M,  Tue Aug 20 15:57:00 CDT 2019,  Tue Aug 20 15:59:42 CDT 2019,00:02:42,2,162,0,0,0,0,0
2086,SMTHFLD_M,  Mon Aug 26 02:37:21 CDT 2019,  Mon Aug 26 02:40:50 CDT 2019,00:03:29,3,209,0,0,0,0,0
2087,SMTHFLD_M,  Mon Sep  2 04:32:41 CDT 2019,  Mon Sep  2 04:38:01 CDT 2019,00:05:20,5,320,0,0,0,0,0
2088,SMTHFLD_M,  Mon Sep  9 06:22:51 CDT 2019,  Mon Sep  9 06:28:16 CDT 2019,00:05:25,5,325,0,0,0,0,0
